09203239.jpg - 09.09.2011 20:32 X(m): -1949.09, Y(m): 1721.03, Alt(m): 1.31, Depth(m): 33.79, V(m/s): 0.03, Heading(deg): 71.2, Pitch(deg): -2.2, Flash time: 0
09203241.jpg - 09.09.2011 20:32 X(m): -1949.04, Y(m): 1720.99, Alt(m): 1.36, Depth(m): 33.76, V(m/s): 0.03, Heading(deg): 70.7, Pitch(deg): -2.2, Flash time: 0
09203243.jpg - 09.09.2011 20:32 X(m): -1948.99, Y(m): 1720.96, Alt(m): 1.44, Depth(m): 33.70, V(m/s): 0.03, Heading(deg): 70.8, Pitch(deg): -2.0, Flash time: 0
09203245.jpg - 09.09.2011 20:32 X(m): -1948.94, Y(m): 1720.93, Alt(m): 1.50, Depth(m): 33.67, V(m/s): 0.03, Heading(deg): 71.5, Pitch(deg): -1.7, Flash time: 0
09203247.jpg - 09.09.2011 20:32 X(m): -1948.88, Y(m): 1720.92, Alt(m): 1.53, Depth(m): 33.62, V(m/s): 0.03, Heading(deg): 73.0, Pitch(deg): -1.4, Flash time: 0
09203249.jpg - 09.09.2011 20:32 X(m): -1948.83, Y(m): 1720.89, Alt(m): 1.56, Depth(m): 33.59, V(m/s): 0.03, Heading(deg): 75.4, Pitch(deg): -1.1, Flash time: 0
09203251.jpg - 09.09.2011 20:32 X(m): -1948.77, Y(m): 1720.86, Alt(m): 1.62, Depth(m): 33.68, V(m/s): 0.03, Heading(deg): 78.0, Pitch(deg): -0.8, Flash time: 1
09203253.jpg - 09.09.2011 20:32 X(m): -1948.71, Y(m): 1720.84, Alt(m): 1.63, Depth(m): 33.69, V(m/s): 0.03, Heading(deg): 80.8, Pitch(deg): -0.3, Flash time: 1
09203255.jpg - 09.09.2011 20:32 X(m): -1948.65, Y(m): 1720.80, Alt(m): 1.65, Depth(m): 33.70, V(m/s): 0.04, Heading(deg): 83.3, Pitch(deg): 0.3, Flash time: 2
09203257.jpg - 09.09.2011 20:32 X(m): -1948.59, Y(m): 1720.75, Alt(m): 1.66, Depth(m): 33.74, V(m/s): 0.04, Heading(deg): 85.2, Pitch(deg): 0.6, Flash time: 7
09203259.jpg - 09.09.2011 20:32 X(m): -1948.51, Y(m): 1720.70, Alt(m): 1.66, Depth(m): 33.76, V(m/s): 0.04, Heading(deg): 86.6, Pitch(deg): 0.6, Flash time: 7
09203301.jpg - 09.09.2011 20:33 X(m): -1948.44, Y(m): 1720.65, Alt(m): 1.65, Depth(m): 33.77, V(m/s): 0.05, Heading(deg): 87.7, Pitch(deg): 0.6, Flash time: 7
09203303.jpg - 09.09.2011 20:33 X(m): -1948.36, Y(m): 1720.60, Alt(m): 1.62, Depth(m): 33.77, V(m/s): 0.06, Heading(deg): 88.8, Pitch(deg): 0.6, Flash time: 7
09203305.jpg - 09.09.2011 20:33 X(m): -1948.28, Y(m): 1720.52, Alt(m): 1.61, Depth(m): 33.82, V(m/s): 0.06, Heading(deg): 89.9, Pitch(deg): 0.6, Flash time: 7
09203307.jpg - 09.09.2011 20:33 X(m): -1948.19, Y(m): 1720.45, Alt(m): 1.58, Depth(m): 33.86, V(m/s): 0.06, Heading(deg): 90.5, Pitch(deg): 0.3, Flash time: 7
09203309.jpg - 09.09.2011 20:33 X(m): -1948.10, Y(m): 1720.39, Alt(m): 1.54, Depth(m): 33.84, V(m/s): 0.06, Heading(deg): 91.0, Pitch(deg): 0.3, Flash time: 7
09203311.jpg - 09.09.2011 20:33 X(m): -1948.00, Y(m): 1720.31, Alt(m): 1.52, Depth(m): 33.80, V(m/s): 0.07, Heading(deg): 91.6, Pitch(deg): 0.0, Flash time: 7
09203313.jpg - 09.09.2011 20:33 X(m): -1947.89, Y(m): 1720.22, Alt(m): 1.49, Depth(m): 33.81, V(m/s): 0.07, Heading(deg): 92.3, Pitch(deg): -0.3, Flash time: 7
